Respondent_ID,Timestamp,1. Which best describes you?,2. Which city do you currently live in?,3. Which UPI apps do you currently use?,4. Which UPI app do you use MOST?,5. Have you used Paytm UPI in the last 90 days?,6. Roughly how many UPI payments do you make in a typical week?,7. Where do you use UPI MOST often?,8. What is the BIGGEST reason you usually open your primary UPI app?,9. When are you MOST likely to use Paytm UPI?,10. What is the BIGGEST reason you do NOT use Paytm for more of your UPI payments?,11. In ONE sentence: what would make you use Paytm more?,12. Would you be open to a 15-minute follow-up conversation about your UPI habits?,Data_Quality_Flag,TrackA_Eligibility
VIRTUS_011,2026-09-11 22:15:50.515,Other,Sitapur,Google Pay,PhonePe,No,16–30,"Food / cafés / restaurants, Bills / recharge, Friends / family,",Better features / experience,"I use Paytm randomly, with no specific occasion",I am not familiar with Paytm features,"I would use Paytm more if it made my daily payments faster, easier, and more secure.",No,OK,Not Track-A Eligible
VIRTUS_012,2026-09-11 22:20:19.623,Other,Sitapur,PhonePe,PhonePe,No,1–3,Daily use item,Other,Shopping / online purchases,Other,Tute rupay ka tention nahi,No,OK,Not Track-A Eligible
VIRTUS_013,2026-09-11 22:23:13.074,Working professional,Sitapur,Paytm,Paytm,Yes,8–15,Shopping,It is faster or easier,Shopping / online purchases,Paytm does not give me a strong reason to switch,It's faster and easier.,No,OK,Not Track-A Eligible
VIRTUS_014,2026-09-11 22:28:01.673,Working professional,Lakhimpur Kheri,"PhonePe, Paytm, BHIM",Google Pay,Yes,16–30,"Groceries, Travel / auto / cab, Bills / recharge, Online purchases","It is faster or easier, Better offers / rewards, I trust it more, It feels more reliable","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion, I cannot think of a recent Paytm use","Merchants usually use another app, Another app has better offers / rewards, I trust another app more",Best option,Yes,OK,Track-A Eligible
VIRTUS_015,2026-09-11 22:28:08.205,College student,Bhopal,Paytm,Paytm,Yes,4–7,Food / cafés / restaurants,It is simply my habit / default,"Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family",Nothing — I could use Paytm more,It is simply my go to app for online UPI payments.,No,OK,Not Track-A Eligible
VIRTUS_016,2026-09-11 22:30:34.651,Self-employed / freelancer,Lucknow,"PhonePe, Paytm, Amazon Pay",Google Pay,Yes,8–15,"Food / cafés / restaurants, Shopping, Travel / auto / cab",I trust it more,"Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, I use Paytm randomly, with no specific occasion","I trust another app more, I am not familiar with Paytm features, Nothing — I could use Paytm more",Very easy,Yes,OK,Track-A Eligible
VIRTUS_017,2026-09-11 22:32:22.673,College student,Sehore,"Google Pay, Paytm, Amazon Pay, Slice",Slice,Yes,4–7,"Food / cafés / restaurants, Groceries, Rent","Better offers / rewards, Better features / experience","Bills / recharge, Travel / transport",I automatically use another app,Clean ui,No,OK,Track-A Eligible
VIRTUS_018,2026-09-11 22:33:05.539,College student,Sehore,"PhonePe, Google Pay",Google Pay,No,30+,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Friends / family, College / education, Online purchases, Subscriptions","It is simply my habit / default, It is faster or easier, I trust it more, It feels more reliable, Better features / experience",I cannot think of a recent Paytm use,"I automatically use another app, I trust another app more",Rewards,Yes,OK,Not Track-A Eligible
VIRTUS_019,2026-09-11 22:33:48.068,College student,Shimla,Google Pay,Google Pay,No,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases","It is faster or easier, Merchants commonly use it","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward",Another app feels faster / easier,If it offered the same rewards it used to,No,OK,Not Track-A Eligible
VIRTUS_020,2026-09-11 22:36:01.368,College student,Bhopal,"Google Pay, BHIM",Google Pay,No,8–15,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge",It is faster or easier,"Shopping / online purchases, Bills / recharge, Food / restaurants","I trust another app more, Paytm does not give me a strong reason to switch","Better offers and returns 
When it can become more than just a payment app maybe .",Yes,OK,Not Track-A Eligible
VIRTUS_021,2026-09-11 22:37:45.922,College student,Surat,"Google Pay, Super Money",Super Money,No,16–30,"Food / cafés / restaurants, Online purchases","It is faster or easier, Better offers / rewards","When there is an offer / reward, I use Paytm randomly, with no specific occasion, I cannot think of a recent Paytm use","Another app feels faster / easier, Another app has better offers / rewards",Faster payment and cashbacks,Yes,OK,Not Track-A Eligible
VIRTUS_022,2026-09-11 22:38:46.698,Working professional,Sitapur,Google Pay,Google Pay,Yes,30+,"Food / cafés / restaurants, Friends / family",Better features / experience,"Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family",I automatically use another app,"If Paytm offered faster payments and better rewards, I would use it more often.",Yes,OK,Not Track-A Eligible
VIRTUS_023,2026-09-11 22:38:57.061,Working professional,Sitapur,"PhonePe, Google Pay, BHIM, Amazon Pay",Google Pay,Yes,8–15,Travel / auto / cab,It is faster or easier,"Shopping / online purchases, Travel / transport","I am not familiar with Paytm features, Nothing — I could use Paytm more",I am not that much aware about this app,No,OK,Not Track-A Eligible
VIRTUS_024,2026-09-11 22:39:00.330,College student,Sitapur,"PhonePe, Paytm",Paytm,Yes,4–7,"Shopping, Bills / recharge, Friends / family",Other,"Shopping / online purchases, Bills / recharge",I automatically use another app,Best,Yes,OK,Not Track-A Eligible
VIRTUS_025,2026-09-11 22:39:42.185,College student,Lucknow,Google Pay,Google Pay,No,16–30,Friends / family,Better offers / rewards,"I use Paytm randomly, with no specific occasion",Other,If my friend used it more,Yes,OK,Not Track-A Eligible
VIRTUS_026,2026-09-11 22:40:08.366,College student,Sitapur,Google Pay,Google Pay,Yes,16–30,Food / cafés / restaurants,My friends / family use it,Food / restaurants,Another app feels faster / easier,No,No,OK,Not Track-A Eligible
VIRTUS_027,2026-09-11 22:40:51.935,College student,Shahjahanpur,Google Pay,PhonePe,Yes,8–15,Travel / auto / cab,It is faster or easier,Payments to friends / family,Paytm does not give me a strong reason to switch,No,No,OK,Not Track-A Eligible
VIRTUS_028,2026-09-11 22:41:58.757,Self-employed / freelancer,Sitapur,Paytm,Paytm,Yes,30+,"Shopping, Groceries, Travel / auto / cab, Bills / recharge, College / education, Online purchases",I trust it more,"Food / restaurants, Travel / transport, High-value payments","My friends / family are on another app, Merchants usually use another app, I trust another app more, I am not familiar with Paytm features",बेहतरीन विकल्प है कैस का झंझट नहीं है।,No,OK,Not Track-A Eligible
VIRTUS_029,2026-09-11 22:43:33.966,Other,Sitapur,Google Pay,Google Pay,No,1–3,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Friends / family, Online purchases, Subscriptions","It is faster or easier, Merchants commonly use it, I trust it more, Better features / experience",I cannot think of a recent Paytm use,"Another app feels faster / easier, I trust another app more, I am not familiar with Paytm features, Other",Kuchh achchha reward milega to use karuga vaese maine Google par bharosa karke hi gpay use karna start kiya h aur kisi pr bharosa nhi,No,OK,Not Track-A Eligible
VIRTUS_030,2026-09-11 22:46:18.785,Self-employed / freelancer,Gurgaon,"Google Pay, Paytm, Amazon Pay",Google Pay,Yes,16–30,"Shopping, Groceries, Travel / auto / cab","It is simply my habit / default, It is faster or easier",When there is an offer / reward,Another app feels faster / easier,Better UI and fast response,Yes,OK,Track-A Eligible
VIRTUS_031,2026-09-11 22:49:32.864,Working professional,Babhnan,Google Pay,Google Pay,No,1–3,"Shopping, Travel / auto / cab, Bills / recharge, Friends / family, Online purchases, Rent","It is simply my habit / default, It is faster or easier, I trust it more, Other","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, When there is an offer / reward","Another app feels faster / easier, Another app has better offers / rewards, I trust another app more",Reward and Faster,No,OK,Not Track-A Eligible
VIRTUS_032,2026-09-11 22:49:33.842,Other,Sitapur,PhonePe,PhonePe,Yes,1–3,"Food / cafés / restaurants, Bills / recharge","It is faster or easier, Better features / experience","Shopping / online purchases, Bills / recharge, Food / restaurants","My friends / family are on another app, Paytm does not give me a strong reason to switch",Give better rewards,No,OK,Not Track-A Eligible
VIRTUS_033,2026-09-11 22:51:46.235,College student,Bhopal,Google Pay,Google Pay,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions","It is simply my habit / default, It is faster or easier, Better features / experience","Shopping / online purchases, When there is an offer / reward",My friends / family are on another app,Generally provide better offers,No,OK,Not Track-A Eligible
VIRTUS_034,2026-09-11 22:54:48.870,College student,Sitapur,Google Pay,Google Pay,No,1–3,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Friends / family, Rent","It is simply my habit / default, It is faster or easier, My friends / family use it",I cannot think of a recent Paytm use,I am not familiar with Paytm features,I'm not use paytm app,No,OK,Not Track-A Eligible
VIRTUS_035,2026-09-11 22:55:51.454,Working professional,Bangalore,"Google Pay, BHIM",Google Pay,Yes,16–30,"Food / cafés / restaurants, Groceries, Travel / auto / cab","It is simply my habit / default, It is faster or easier",When there is an offer / reward,I am not familiar with Paytm features,if it had more rewards,No,OK,Not Track-A Eligible
VIRTUS_036,2026-09-11 22:58:05.418,College student,Bhopal,PhonePe,PhonePe,Yes,16–30,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions","It is simply my habit / default, It is faster or easier, My friends / family use it, Merchants commonly use it, Better offers / rewards, I trust it more, It feels more reliable, Better features / experience","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion, I cannot think of a recent Paytm use","I automatically use another app, Another app feels faster / easier, My friends / family are on another app, Merchants usually use another app, Another app has better offers / rewards, I trust another app more, Paytm does not give me a strong reason to switch, I am not familiar with Paytm features, Nothing — I could use Paytm more",idk,No,OK,Not Track-A Eligible
VIRTUS_037,2026-09-11 22:58:32.526,Self-employed / freelancer,Sitapur,Google Pay,Google Pay,No,16–30,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Online purchases",It is faster or easier,I cannot think of a recent Paytm use,Another app feels faster / easier,If my friends used it more,Yes,OK,Not Track-A Eligible
VIRTUS_038,2026-09-11 23:01:19.293,College student,Sitapur,PhonePe,PhonePe,No,1–3,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education",It is faster or easier,"Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family",Another app feels faster / easier,Credibility,No,OK,Not Track-A Eligible
VIRTUS_039,2026-09-11 23:11:37.650,College student,bhopal,Google Pay,Google Pay,No,30+,"Food / cafés / restaurants, Shopping",It feels more reliable,Bills / recharge,I automatically use another app,faster payment,No,OK,Not Track-A Eligible
VIRTUS_040,2026-09-11 23:12:07.095,College student,Mathura,Google Pay,Google Pay,Yes,8–15,"Food / cafés / restaurants, Shopping, Bills / recharge, College / education",My friends / family use it,"I use Paytm randomly, with no specific occasion",I automatically use another app,"I can use Paytm often, but i Gpay more, maybe because it is easier to use GPay than Paytm",No,OK,Not Track-A Eligible
VIRTUS_041,2026-09-11 23:25:08.853,College student,Hamirpur,Google Pay,Google Pay,No,8–15,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent","It is faster or easier, My friends / family use it, Merchants commonly use it, Better offers / rewards, I trust it more","Bills / recharge, Food / restaurants, Travel / transport","Another app feels faster / easier, My friends / family are on another app, Another app has better offers / rewards",If it made my daily payments faster,No,OK,Not Track-A Eligible
VIRTUS_042,2026-09-11 23:28:48.077,Working professional,Lucknow,Amazon Pay,Amazon Pay,No,16–30,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, Online purchases",It is simply my habit / default,I cannot think of a recent Paytm use,"Another app has better offers / rewards, Paytm does not give me a strong reason to switch, I am not familiar with Paytm features",Best offers and cashback,Yes,OK,Not Track-A Eligible
VIRTUS_043,2026-09-11 23:34:15.209,Working professional,Lucknow,PhonePe,PhonePe,No,30+,All of the above,"It is simply my habit / default, It is faster or easier, It feels more reliable, Better features / experience",I cannot think of a recent Paytm use,"Paytm does not give me a strong reason to switch, I am not familiar with Paytm features, Other","More convenient, user friendly and if paytm attentively responds to the user complaints",Yes,OK,Not Track-A Eligible
VIRTUS_044,2026-09-11 23:36:59.318,College student,Sitapur,PhonePe,PhonePe,No,4–7,Food / cafés / restaurants,It is simply my habit / default,Food / restaurants,Another app feels faster / easier,My friend,No,OK,Not Track-A Eligible
VIRTUS_045,2026-09-11 23:37:01.960,Working professional,Lakhimpur Kheri,"PhonePe, Google Pay, Paytm",PhonePe,Yes,1–3,"Food / cafés / restaurants, Shopping, Travel / auto / cab, Bills / recharge, Online purchases","It is faster or easier, Better features / experience","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport","I automatically use another app, My friends / family are on another app",Great,Yes,OK,Track-A Eligible
VIRTUS_046,2026-09-11 23:48:36.754,College student,Bhubaneswar,"PhonePe, Paytm, BHIM",Paytm,Yes,8–15,"Food / cafés / restaurants, Groceries, Online purchases","It is faster or easier, Better offers / rewards, It feels more reliable","Shopping / online purchases, Food / restaurants",Nothing — I could use Paytm more,Because it gives me a cashback facility,No,OK,Not Track-A Eligible
VIRTUS_047,2026-09-12 00:03:43.727,Working professional,Lucknow,"PhonePe, Google Pay, Paytm",Paytm,Yes,16–30,"Shopping, Groceries, Bills / recharge, Online purchases","It is simply my habit / default, I trust it more","Shopping / online purchases, Bills / recharge, Payments to friends / family",Nothing — I could use Paytm more,I use paytm regularly,No,OK,Not Track-A Eligible
VIRTUS_048,2026-09-12 00:09:31.415,College student,Bhopal,Google Pay,Google Pay,Yes,4–7,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases","It is simply my habit / default, It is faster or easier, It feels more reliable","Shopping / online purchases, Bills / recharge, Food / restaurants, Payments to friends / family","I automatically use another app, Nothing — I could use Paytm more",If its faster,No,OK,Not Track-A Eligible
VIRTUS_049,2026-09-12 00:25:54.152,Working professional,Sitapur,Google Pay,Google Pay,Yes,4–7,All,Other,"Payments to friends / family, I use Paytm randomly, with no specific occasion","Paytm does not give me a strong reason to switch, I am not familiar with Paytm features, Other",It doesn't give cashback or rewards,No,OK,Not Track-A Eligible
VIRTUS_050,2026-09-12 00:27:46.942,College student,Pune,Google Pay,Google Pay,No,16–30,"Food / cafés / restaurants, Groceries",It is simply my habit / default,I cannot think of a recent Paytm use,"I automatically use another app, Another app feels faster / easier",Z,No,OK,Not Track-A Eligible
VIRTUS_051,2026-09-12 00:33:44.016,Working professional,Rajsthan,PhonePe,PhonePe,No,16–30,"Food / cafés / restaurants, Shopping, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Subscriptions",It is faster or easier,I cannot think of a recent Paytm use,"Another app feels faster / easier, Paytm does not give me a strong reason to switch",Yes off course if it become more reliable and easier to use,No,OK,Not Track-A Eligible
VIRTUS_052,2026-09-12 00:54:18.106,College student,BHOPAL,"PhonePe, Paytm",Paytm,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Subscriptions","It is simply my habit / default, It is faster or easier, I trust it more, It feels more reliable, Better features / experience","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion",Nothing — I could use Paytm more,It’s UI is very good,No,OK,Not Track-A Eligible
VIRTUS_053,2026-09-12 01:12:45.114,College student,Bhopal,Google Pay,Google Pay,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Rent, Subscriptions","It is simply my habit / default, It is faster or easier, Merchants commonly use it, Better offers / rewards, It feels more reliable, Better features / experience","Shopping / online purchases, Travel / transport","I automatically use another app, Merchants usually use another app",Paytm,No,OK,Not Track-A Eligible
VIRTUS_054,2026-09-12 01:36:23.299,Working professional,gurugram,"Google Pay, Paytm",Paytm,Yes,8–15,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Rent","It is simply my habit / default, It is faster or easier, It feels more reliable","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family",My friends / family are on another app,more rewards and cashback,No,OK,Not Track-A Eligible
VIRTUS_055,2026-09-12 05:57:28.830,College student,Biswan,PhonePe,PhonePe,Yes,1–3,College / education,It is faster or easier,High-value payments,Merchants usually use another app,अच्छा चलता है,Yes,OK,Not Track-A Eligible
VIRTUS_056,2026-09-12 06:08:57.913,Working professional,Shahjahanpur,"PhonePe, Google Pay, Amazon Pay",PhonePe,No,16–30,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Online purchases",It is faster or easier,I cannot think of a recent Paytm use,I am not familiar with Paytm features,"Make paytm options. Like phonepe, big and easy",No,OK,Not Track-A Eligible
VIRTUS_057,2026-09-12 06:42:49.353,Other,Karnal,"PhonePe, Google Pay, Paytm",PhonePe,Yes,1–3,"Shopping, Bills / recharge, Friends / family,",Other,I cannot think of a recent Paytm use,Other,Paytm UPI growthfull,Yes,OK,Track-A Eligible
VIRTUS_058,2026-09-12 06:47:18.595,College student,Kheri,"PhonePe, Google Pay, Paytm, BHIM",PhonePe,Yes,1–3,Shopping,Better offers / rewards,Shopping / online purchases,I automatically use another app,Phone pay,Yes,OK,Track-A Eligible
VIRTUS_059,2026-09-12 07:04:21.465,College student,Biswan,Paytm,Paytm,Yes,30+,Bills / recharge,Better offers / rewards,Bills / recharge,I automatically use another app,GD,Yes,OK,Not Track-A Eligible
VIRTUS_060,2026-09-12 07:11:12.103,Self-employed / freelancer,Sitapur,"PhonePe, Paytm, BHIM, Amazon Pay",Amazon Pay,Yes,4–7,"Shopping, Groceries, Bills / recharge, Online purchases","It is faster or easier, Better offers / rewards","Payments to friends / family, High-value payments",Another app has better offers / rewards,If I get cashbacks,No,OK,Track-A Eligible
VIRTUS_061,2026-09-12 07:13:30.269,College student,Biswan,Paytm,Paytm,Yes,30+,Bills / recharge,It is faster or easier,Bills / recharge,I automatically use another app,Eg,Yes,OK,Not Track-A Eligible
VIRTUS_062,2026-09-12 07:18:12.972,Other,Hardoi,PhonePe,PhonePe,Yes,16–30,"Food / cafés / restaurants, Shopping, Groceries, Bills / recharge, Friends / family",It is simply my habit / default,"Shopping / online purchases, Bills / recharge, Food / restaurants, Payments to friends / family",I automatically use another app,Make fast,Yes,OK,Not Track-A Eligible
VIRTUS_063,2026-09-12 07:23:58.017,College student,Kotwara po kotwara,Google Pay,Google Pay,Yes,8–15,Bills / recharge,Better features / experience,Bills / recharge,I automatically use another app,Paytm ko ham no use,Yes,OK,Not Track-A Eligible
VIRTUS_064,2026-09-12 08:05:13.214,College student,Ballia,"PhonePe, Google Pay",PhonePe,No,4–7,"Food / cafés / restaurants, Groceries","It is faster or easier, My friends / family use it",When there is an offer / reward,Another app feels faster / easier,Paytm per acche offer milenge to main jyada use karunga,No,OK,Not Track-A Eligible
VIRTUS_065,2026-09-12 08:09:57.886,College student,Ballia,PhonePe,Google Pay,No,4–7,"Shopping, Groceries",My friends / family use it,When there is an offer / reward,Another app feels faster / easier,Temperature per milenge to main jyada use karunga,No,OK,Not Track-A Eligible
VIRTUS_066,2026-09-12 08:18:01.396,Other,Hardoi,PhonePe,PhonePe,Yes,1–3,"Shopping, Bills / recharge, Friends / family",It is faster or easier,"Bills / recharge, Payments to friends / family",I automatically use another app,"“If Paytm made my daily payments faster and easier, I would use it more.”",No,OK,Not Track-A Eligible
VIRTUS_067,2026-09-12 08:22:13.185,Other,Hardoi,PhonePe,PhonePe,No,1–3,"Bills / recharge, Friends / family",My friends / family use it,"Bills / recharge, Payments to friends / family",I automatically use another app,"If Paytm made my daily payments faster and easier, I would use it more.”",No,OK,Not Track-A Eligible
VIRTUS_068,2026-09-12 08:25:37.017,College student,Agra,Google Pay,Google Pay,Yes,8–15,"Food / cafés / restaurants, Shopping, Travel / auto / cab, Bills / recharge, Online purchases, Rent","It is simply my habit / default, It is faster or easier, I trust it more, It feels more reliable","Shopping / online purchases, Travel / transport, I use Paytm randomly, with no specific occasion",Nothing — I could use Paytm more,If it look attractive,No,OK,Not Track-A Eligible
VIRTUS_069,2026-09-12 08:45:58.359,College student,Lucknow,Paytm,Paytm,Yes,16–30,"Food / cafés / restaurants, Groceries, Bills / recharge, Friends / family",It is simply my habit / default,I cannot think of a recent Paytm use,Other,If it made my daily payment faster,Yes,OK,Not Track-A Eligible
VIRTUS_070,2026-09-12 08:56:49.632,College student,Sitapur,Navi,Navi,Yes,1–3,Friends / family,My friends / family use it,Shopping / online purchases,Other,I am navi app use in currently,Yes,OK,Not Track-A Eligible
VIRTUS_071,2026-09-12 09:00:03.681,College student,Vallia,PhonePe,PhonePe,No,4–7,Shopping,My friends / family use it,When there is an offer / reward,Another app feels faster / easier,Paytm par ache offers milenge toh mai zyada use karunga,No,OK,Not Track-A Eligible
VIRTUS_072,2026-09-12 09:00:40.416,College student,Lakhimpur Kheri,Google Pay,Google Pay,Yes,8–15,Friends / family,My friends / family use it,Payments to friends / family,Another app has better offers / rewards,Extra charges,No,OK,Not Track-A Eligible
VIRTUS_073,2026-09-12 09:02:56.902,College student,Ballia,PhonePe,Google Pay,No,4–7,Shopping,My friends / family use it,Payments to friends / family,Another app feels faster / easier,Paytm per jyada offer milenge to main jyada use karunga,No,OK,Not Track-A Eligible
VIRTUS_074,2026-09-12 09:12:26.155,College student,Sitapur,Paytm,Paytm,Yes,16–30,Travel / auto / cab,Better features / experience,Travel / transport,Another app has better offers / rewards,Speed,Yes,OK,Not Track-A Eligible
VIRTUS_075,2026-09-12 10:01:14.388,College student,Sitapur,Google Pay,Google Pay,Yes,16–30,"Shopping, Bills / recharge, Friends / family, Online purchases",My friends / family use it,"Shopping / online purchases, Bills / recharge, Payments to friends / family, High-value payments",My friends / family are on another app,200000,No,OK,Not Track-A Eligible
VIRTUS_076,2026-09-12 10:24:19.272,College student,Shahjahanpur,PhonePe,PhonePe,No,1–3,College / education,Better features / experience,I cannot think of a recent Paytm use,Other,अगर मेरे दोस्त और परिचित इसका अधिक उपयोग करते।,No,OK,Not Track-A Eligible
VIRTUS_077,2026-09-12 10:26:04.702,College student,Sitapur,Google Pay,Google Pay,Yes,8–15,College / education,My friends / family use it,Payments to friends / family,My friends / family are on another app,Navi,Yes,OK,Not Track-A Eligible
VIRTUS_078,2026-09-12 10:28:14.427,College student,Sitapur,Google Pay,Google Pay,Yes,8–15,Online purchases,My friends / family use it,"I use Paytm randomly, with no specific occasion",My friends / family are on another app,No,No,OK,Not Track-A Eligible
